day,window_start_CET,trades
2024-01-01,2024-01-01T20:43:00.000,1311883.71
2024-01-02,2024-01-02T09:02:00.000,1373118.06
2024-01-03,2024-01-03T09:36:00.000,1361513.65
2024-01-04,2024-01-04T22:00:00.000,1336781.38
2024-01-05,2024-01-04T23:00:00.000,1328566.51
2024-01-06,2024-01-05T23:05:00.000,1324471.93
2024-01-07,2024-01-07T13:45:00.000,1331862.44
2024-01-08,2024-01-08T21:32:00.000,1412795.09
2024-01-09,2024-01-08T23:57:00.000,1410337.33
2024-01-10,2024-01-10T22:30:00.000,1397373.56
2024-01-11,2024-01-11T14:39:00.000,1455117.11
2024-01-12,2024-01-11T23:00:00.000,1392171.24
2024-01-13,2024-01-13T08:06:00.000,1295573.27
2024-01-14,2024-01-14T06:59:00.000,1290210.57
2024-01-15,2024-01-15T18:27:00.000,1295559.71
2024-01-16,2024-01-16T21:28:00.000,1303622.52
2024-01-17,2024-01-16T23:00:00.000,1297039.18
2024-01-18,2024-01-18T07:33:00.000,1287100.72
2024-01-19,2024-01-19T20:08:00.000,1260452.25
2024-01-20,2024-01-20T21:06:00.000,1254636.35
2024-01-21,2024-01-21T13:50:00.000,1255581.23
2024-01-22,2024-01-22T00:43:00.000,1249199.84
2024-01-23,2024-01-23T04:17:00.000,1204158.56
2024-01-24,2024-01-24T10:41:00.000,1209959.62
2024-01-25,2024-01-25T11:20:00.000,1207154.57
2024-01-26,2024-01-26T18:33:00.000,1263364.35
2024-01-27,2024-01-27T22:18:00.000,1264736.36
2024-01-28,2024-01-28T04:57:00.000,1281661.89
2024-01-29,2024-01-29T21:32:00.000,1296015.03
2024-01-30,2024-01-30T02:37:00.000,1309996.06
2024-01-31,2024-01-31T17:57:00.000,1308533.84
2024-02-01,2024-02-01T19:46:00.000,1294127.29
2024-02-02,2024-02-02T15:56:00.000,1300073.65
2024-02-03,2024-02-03T00:16:00.000,1299457.28
2024-02-04,2024-02-04T12:11:00.000,1292510.9
2024-02-05,2024-02-05T13:33:00.000,1303705.08
2024-02-06,2024-02-06T16:19:00.000,1299166.46
2024-02-07,2024-02-07T22:14:00.000,1327716.6
